,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95
10,21,20,0,20,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,20,0,20,0,0,0,21,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21,20,0,20,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,22,20,0,20,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21,20,0,20,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21,20,0,20,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,18,0,21,0,0,0,22,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19,21,0,20,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15,15,0,17,0,0,0,17,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,14,14,0,14,0,0,0,14,0,0,14,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,14,14,0,14,0,0,0,14,0,0,14,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12,12,0,13,0,0,0,13,0,0,13,12,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,13,0,13,0,0,0,12,0,0,13,12,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,14,11,0,11,0,0,0,9,0,0,11,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,9,0,11,0,0,0,11,0,0,12,12,12,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,11,0,11,0,0,0,11,0,0,11,11,11,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11,10,0,10,0,0,0,10,0,0,10,9,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,8,0,7,0,0,0,9,0,0,9,10,10,0,9,10,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7,7,0,7,0,0,0,8,0,0,8,8,8,0,8,8,0,8,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,5,0,6,0,0,0,8,0,0,7,8,8,0,8,10,0,8,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,4,0,7,0,0,0,8,0,0,8,8,8,0,11,8,0,9,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,7,0,7,0,0,0,8,0,0,8,8,8,0,8,8,0,8,8,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,6,0,6,0,0,0,6,0,0,7,7,7,0,6,7,0,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,4,0,5,0,0,0,5,0,0,5,6,6,0,6,5,0,5,6,6,0,6,0,0,0,0,0,0,6,0,0,6,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,6,5,0,5,0,0,0,5,0,0,5,5,4,0,5,5,0,5,5,5,0,5,0,0,0,5,0,0,5,0,0,5,5,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,3,0,4,0,0,0,5,0,0,5,5,4,0,7,5,0,6,5,5,0,5,0,0,0,5,0,0,6,0,0,6,5,0,0,0,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,2,0,4,0,0,0,4,0,0,4,5,5,0,5,5,0,5,4,7,0,5,0,0,0,5,6,0,6,0,0,6,6,0,0,0,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,7,0,5,0,0,0,5,0,0,5,5,5,0,4,4,0,5,5,5,0,5,0,0,0,5,5,0,5,0,0,5,5,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,6,0,5,0,0,0,4,0,0,5,5,5,0,5,5,0,5,5,5,0,5,0,0,0,5,5,0,5,0,0,5,5,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,4,0,4,0,0,0,4,0,0,5,5,5,0,5,5,0,4,5,5,0,5,0,0,0,5,5,0,4,0,0,5,5,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,4,0,4,0,0,0,4,0,0,4,4,5,0,5,4,0,5,5,5,0,5,0,0,0,4,5,0,5,0,0,4,5,0,0,0,5,0,0,5,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,4,0,4,0,0,0,4,0,0,4,4,4,0,4,4,0,4,4,4,0,4,0,0,0,4,7,0,5,0,0,5,4,0,0,0,4,0,0,4,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,3,0,4,0,0,0,4,0,0,4,4,4,0,4,4,0,4,4,4,0,4,0,0,0,4,4,0,4,0,0,7,4,0,0,0,5,0,0,4,4,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,5,0,4,0,0,0,4,0,0,4,4,4,0,4,4,0,4,4,4,0,4,0,0,0,4,4,0,4,0,0,3,4,0,0,0,4,0,0,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,3,0,7,0,0,0,4,0,0,4,4,4,0,4,4,0,4,4,4,0,3,0,0,0,4,4,0,4,0,0,4,4,0,0,0,4,0,0,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,3,0,3,0,0,0,3,0,0,3,3,4,0,4,3,0,4,4,4,0,4,0,0,0,4,4,0,3,0,0,4,4,0,0,0,4,0,0,4,4,4,3,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,3,0,3,0,0,0,3,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,4,3,0,4,0,0,3,4,0,0,0,4,0,0,4,4,3,3,3,3,4,0,0,0,0,3,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,11,0,3,0,0,0,3,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,2,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,8,0,3,0,0,0,3,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,2,0,0,0,0,3,3,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,2,0,3,0,0,0,3,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,2,3,3,3,3,0,0,0,0,3,3,3,3,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,2,0,2,0,0,0,2,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,2,3,3,3,2,0,0,0,0,3,3,3,3,0,0,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,2,0,2,0,0,0,2,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,2,3,3,0,0,3,2,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,2,0,2,0,0,0,2,0,0,2,2,2,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,2,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,2,0,2,0,0,0,2,0,0,1,2,3,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,2,0,2,0,0,0,2,0,0,2,2,3,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,2,3,3,3,3,0,0,0,0,3,3,3,3,0,3,2,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,2,0,0,0,2,0,0,2,3,3,0,3,2,0,3,3,3,0,3,0,0,0,3,2,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,2,0,0,0,2,0,0,2,3,3,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,2,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,2,0,0,0,2,0,0,3,3,2,0,3,3,0,3,3,3,0,3,0,0,0,3,2,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,2,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,2,0,0,0,0,0,0,3,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,2,0,0,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,3,3,2,0,2,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,2,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,4,3,4,0,4,4,3,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,5,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,2,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,5,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,0,0,0,3,3,3,2,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,2,3,3,0,3,3,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,2,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,2,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,2,2,3,0,3,2,0,3,3,3,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,3,3,3,3,2,3,3,0,0,0,0,3,3,3,2,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,2,2,3,0,3,0,0,0,3,3,0,3,0,0,2,3,0,0,0,2,0,0,3,3,3,2,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,2,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,2,0,3,0,0,0,3,3,0,3,0,0,3,3,0,0,0,3,0,0,2,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
