,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20,6.2,10.3,11.32,17.88,14.5,14.88,15.38,15.78,18.0,17.8,17.78,17.8,17.82,17.56,17.72,17.74,17.8,18.14,19.42,18.84,17.74,19.58,22.08,20.66,20.72,21.38,24.5,27.9,26.42,27.34,26.58,27.04,25.46,30.04,36.3,36.38,35.88,35.9,37.86,37.74,39.64,40.94,45.26,46.2,53.66,51.76,57.96,63.6,67.28,69.56,71.46,75.22,61.32,79.5,80.02,89.58,87.7,95.0,114.24,126.36,127.5,128.18,128.9,126.52,132.1,133.02,131.06,131.66,131.56,131.82,132.68,132.6,137.2,136.78,136.92,138.26,140.92,149.28,151.68,157.94,161.86,168.3,170.24,169.26,169.8,168.78,170.1,169.88,169.94,170.2,168.4,178.74,191.04,210.98,222.62,223.82,226.3,231.58,232.56,234.1,235.52
21,6.24,10.78,14.2,14.94,14.68,16.06,15.08,14.0,14.78,16.4,16.26,15.54,16.6,22.22,22.74,24.26,25.92,30.1,28.72,35.44,31.0,34.28,33.12,32.84,32.48,32.68,32.02,32.08,35.6,34.2,33.26,35.6,36.8,36.36,35.72,33.04,33.34,34.68,35.38,33.18,33.14,36.32,33.04,33.34,33.34,33.16,33.22,33.24,33.28,33.06,33.02,35.6,33.04,33.12,33.22,33.16,33.02,35.62,33.2,34.0,37.6,38.2,39.54,40.24,37.72,41.18,36.6,36.06,40.9,41.08,41.28,37.44,37.48,37.0,36.98,37.5,37.16,36.8,36.88,37.3,37.1,36.8,37.18,37.56,37.02,37.04,37.48,38.1,43.32,52.0,67.28,67.86,67.04,67.62,69.4,71.52,76.52,78.82,82.36,83.08,84.62
22,6.2,10.26,10.98,10.54,13.2,13.98,16.94,18.94,20.38,22.4,25.9,24.24,23.88,27.48,26.42,31.48,28.68,29.12,29.06,28.82,31.58,31.26,34.4,32.26,39.8,34.88,42.46,36.58,39.68,43.34,54.54,61.86,76.34,79.08,79.52,93.42,81.48,79.2,82.08,87.72,82.52,81.1,78.58,79.8,78.78,79.8,81.52,80.92,84.76,83.58,85.0,92.2,91.4,94.22,93.54,95.54,93.72,95.58,93.68,92.72,94.18,101.44,103.0,108.7,115.4,116.2,122.84,123.0,121.76,123.76,124.9,120.34,122.94,121.52,123.82,123.22,124.16,120.72,122.94,129.46,139.26,140.5,144.42,149.34,152.8,153.84,156.42,157.16,158.84,158.14,159.6,160.22,160.08,161.36,159.34,152.04,150.52,160.66,150.38,149.34,159.0
23,6.2,10.58,11.42,11.24,11.0,9.78,10.04,10.26,10.38,9.88,9.9,9.24,11.78,15.24,16.42,17.6,20.34,23.24,27.06,27.8,31.74,29.56,33.86,36.88,38.0,39.32,42.5,48.36,45.04,54.7,65.02,82.36,80.8,93.1,97.06,120.62,119.26,120.88,124.74,126.76,126.24,126.64,132.54,144.34,148.0,163.32,170.4,189.36,209.62,216.28,224.2,242.02,258.44,265.92,263.7,269.28,278.58,281.2,292.32,301.62,298.16,304.26,311.98,315.04,313.46,318.42,321.6,329.54,326.22,327.76,332.74,335.14,340.26,339.16,344.44,350.24,367.94,381.22,400.7,413.56,417.38,420.94,420.28,422.02,421.24,420.6,422.08,422.04,425.26,425.74,425.56,432.34,432.44,430.44,434.64,434.3,432.14,433.08,436.36,444.9,446.24
24,6.2,11.12,11.36,10.5,10.46,10.66,11.54,10.52,11.16,12.36,13.2,13.28,13.26,20.04,22.7,27.96,33.4,35.3,35.82,41.74,44.46,55.46,48.96,48.0,59.66,79.76,70.12,71.58,74.12,74.34,77.14,77.18,74.08,73.02,73.86,76.92,75.66,77.58,78.3,78.9,78.22,78.5,77.76,71.0,71.6,74.44,76.74,77.56,78.78,83.5,81.66,86.38,91.5,88.42,91.96,92.86,91.52,96.4,98.2,100.42,103.82,112.04,99.84,116.1,119.16,122.92,122.9,124.76,122.76,124.58,125.56,124.72,125.76,124.02,125.18,127.06,128.56,129.92,129.7,130.28,129.64,130.7,131.44,132.74,133.3,131.72,131.58,132.04,131.48,131.08,131.74,131.74,131.56,130.16,132.68,134.32,134.44,133.18,133.42,134.46,134.42
25,6.2,11.12,12.92,11.1,12.28,11.6,11.32,11.1,11.1,10.84,11.1,11.26,11.54,11.1,10.96,11.26,11.26,12.6,11.48,13.52,14.6,14.46,15.8,15.94,16.78,18.12,17.1,19.16,24.18,24.24,26.06,26.14,25.5,31.98,37.34,39.64,43.08,45.34,41.74,43.72,45.32,47.0,49.36,51.32,50.86,51.34,60.8,65.44,59.36,63.86,69.54,73.44,71.82,75.36,75.1,75.56,76.02,76.0,77.48,76.24,80.72,76.36,76.58,79.24,81.76,81.96,91.02,91.44,93.44,93.1,95.72,93.26,95.22,96.4,106.94,114.58,102.22,104.34,107.18,106.72,110.88,108.42,110.02,109.52,108.7,109.58,108.52,110.02,110.0,109.24,109.3,109.3,108.56,108.42,108.66,109.58,108.9,109.2,109.14,109.48,107.8
26,6.22,10.8,11.28,9.44,12.36,13.68,16.04,17.28,17.02,15.68,16.42,18.18,19.52,19.16,19.26,19.46,19.34,21.44,18.98,19.18,19.16,19.2,18.94,19.32,19.2,19.1,19.1,19.5,19.14,20.04,19.14,19.26,20.72,20.78,22.16,22.5,24.72,24.98,27.66,28.38,31.3,32.56,34.94,37.64,36.02,36.12,37.96,37.38,40.9,37.64,45.82,50.98,56.56,54.22,58.36,60.92,63.3,61.08,77.06,78.88,78.74,86.46,96.74,101.16,104.98,97.94,119.36,133.62,142.86,146.04,159.3,184.58,198.4,197.74,208.26,210.86,217.54,224.14,225.86,233.0,238.5,240.34,248.88,254.04,266.92,273.98,285.84,295.62,300.76,307.26,310.28,307.06,308.76,309.68,310.48,309.34,310.62,311.04,309.68,314.6,320.42
27,6.22,10.18,11.28,11.0,11.2,9.98,10.34,10.72,10.7,11.26,13.18,14.9,15.44,15.82,15.8,15.8,16.0,15.68,16.0,17.54,15.48,15.68,15.82,15.66,15.98,15.6,16.88,17.62,15.82,15.56,17.9,15.74,15.4,15.72,15.28,15.62,15.74,15.88,15.56,15.56,15.66,15.52,15.66,15.68,15.74,16.48,15.7,15.68,15.68,15.84,15.92,15.54,15.66,15.66,15.74,15.82,15.72,15.68,15.6,15.86,15.96,15.88,15.88,15.38,15.66,15.66,15.84,15.74,15.78,15.78,15.74,15.66,15.72,16.02,15.78,15.86,15.74,15.8,15.8,15.74,15.68,15.66,15.68,15.88,15.78,15.8,15.78,15.66,15.68,15.78,15.74,15.62,15.68,15.68,15.88,15.68,15.54,15.7,15.8,15.56,15.72
28,6.2,10.54,11.2,11.14,12.7,13.52,13.92,15.2,15.72,15.74,16.0,16.0,16.16,16.22,16.04,16.82,17.12,16.32,17.38,20.16,21.76,20.86,22.34,22.56,23.14,23.4,23.76,24.38,26.94,24.3,24.54,24.76,25.76,26.7,26.5,26.42,26.6,28.3,30.02,32.0,36.56,33.28,35.9,42.52,42.62,44.4,46.34,41.72,41.2,41.72,41.14,46.98,41.66,44.22,43.48,43.64,44.86,47.04,46.7,47.26,50.46,53.9,58.28,59.66,61.44,64.04,67.46,73.72,66.6,65.2,63.76,77.84,68.98,68.62,69.26,69.9,75.24,81.2,79.68,81.34,79.66,87.14,93.84,95.86,97.16,97.74,97.54,101.4,103.58,103.5,107.04,108.76,111.64,112.06,108.92,113.84,111.66,113.52,113.24,112.9,112.38
29,6.22,11.04,11.26,10.9,10.32,9.66,11.4,14.5,15.7,14.76,14.72,16.92,15.6,16.84,19.68,18.22,20.86,19.04,21.7,20.78,20.7,20.82,23.72,23.2,20.96,21.5,20.8,21.22,22.74,20.82,20.76,20.78,20.8,22.3,20.7,21.98,20.52,20.74,22.88,20.74,20.6,22.18,20.48,20.82,23.68,22.16,20.7,22.6,20.72,22.0,21.46,22.28,22.58,21.38,20.78,22.54,22.44,21.42,21.76,23.88,22.62,29.4,27.16,27.28,28.5,29.82,29.6,32.68,33.34,35.28,38.86,39.38,38.14,47.94,51.18,43.74,52.12,45.14,56.04,53.58,45.04,43.52,44.06,54.08,54.32,53.8,60.28,66.96,59.62,65.6,72.72,66.4,65.08,69.16,68.68,74.84,69.52,69.8,71.5,73.24,75.42
